Learner ID,Weighted Total,Total pts,C200P1 CTGL 1,C200P2 CTGL 2,C200A1 Test 2 Essay,C200B1 Test 1 US Students,C200B1 Test 1 IMS Students,student key
05B,97.9235,389.547,94.0,97.0,98.547,100.0,,180
05A,94.92413,386.34827,98.0,97.0,91.34827,100.0,,181
05A,86.47309,351.14619,93.0,93.0,85.14619,80.0,,182
05C,88.45,353.5,85.0,85.0,87.5,96.0,,183
05B,93.54637,373.49275,93.0,91.0,93.49275,96.0,,184
05C,93.5,379.0,97.0,95.0,91.0,96.0,,185
05D,90.66582,355.28384,92.79467,93.99417,96.495,72.0,,186
05D,93.76029,282.84017,99.0,97.49667,93.3435,92.0,,187
05A,90.62295,362.1459,94.0,89.0,91.1459,88.0,,188
05C,89.75,367.5,100.0,100.0,87.5,80.0,,189
05C,98.75,397.5,100.0,100.0,97.5,100.0,,190
05B,90.27275,352.9455,96.0,92.0,96.9455,68.0,,191
05C,87.9,348.0,87.0,87.0,90.0,84.0,,192
20A,93.07202,370.44404,91.0,90.0,93.44404,96.0,,193
05A,88.57237,352.24474,92.0,93.0,91.24474,76.0,,194
05D,96.54107,381.43433,94.79383,91.995,98.6455,96.0,,195
05B,92.57241,370.54483,92.0,94.0,92.54483,92.0,,196
05B,91.2231,358.14621,92.0,87.0,95.14621,84.0,,197
05A,87.65,358.0,96.0,93.0,85.0,84.0,,198
05C,94.4,384.0,100.0,100.0,92.0,92.0,,199
05B,94.19785,372.69571,92.0,89.0,95.69571,96.0,,200
05A,94.04825,381.0965,96.0,94.0,91.0965,100.0,,201
05C,89.0,371.0,95.0,95.0,81.0,100.0,,202
05A,87.925,357.5,95.5,92.0,86.0,84.0,,203
05C,83.4,355.0,95.0,95.0,73.0,92.0,,204
05B,95.44706,382.19412,95.0,96.0,95.19412,96.0,,205
05C,91.55,370.5,95.0,87.0,88.5,,100.0,206
05A,97.425,388.9,96.5,95.0,97.4,100.0,,207
05D,84.31837,329.97917,91.995,90.49417,91.49,,56.0,208
05D,92.90942,371.5815,91.995,91.0945,92.492,96.0,,209
05B,95.997,385.394,98.0,96.0,95.394,96.0,,210
05D,89.2802,348.032,90.49417,89.89383,95.644,72.0,,211
05B,81.09734,324.29469,93.0,94.0,85.29469,52.0,,212
05D,95.34475,379.88134,93.99417,93.99417,95.893,96.0,,213
05D,84.7137,337.529,92.49333,92.79467,88.241,,64.0,214
05B,97.02212,389.14425,95.0,98.0,96.14425,100.0,,215
05C,86.25,339.5,85.0,85.0,89.5,80.0,,216
05C,92.9,367.0,90.0,90.0,95.0,92.0,,217
05D,94.32405,384.58367,96.09567,98.098,90.39,100.0,,218
05A,89.4472,357.8444,97.5,93.0,91.3444,76.0,,219
05C,96.5,379.0,90.0,90.0,99.0,100.0,,220
05A,91.225,367.5,92.5,93.0,90.0,,92.0,221
05C,93.5,375.0,100.0,100.0,95.0,80.0,,222
05B,84.47255,330.84511,89.0,84.0,89.84511,,68.0,223
05B,90.59596,360.39192,93.0,91.0,92.39192,84.0,,224
05A,90.04897,363.74795,92.5,91.0,88.24795,,92.0,225
05B,91.52271,363.34542,95.0,94.0,94.34542,80.0,,226
05C,92.85,378.5,100.0,100.0,90.5,88.0,,227
05A,86.44775,348.2955,91.0,91.0,86.2955,80.0,,228
05D,91.14007,371.78817,99.0,96.29717,88.491,88.0,,229
05A,92.9,374.0,94.0,96.0,92.0,92.0,,230
05C,88.45,353.5,85.0,85.0,87.5,96.0,,231
05A,88.97316,358.54632,95.0,91.0,88.54632,84.0,,232
05A,92.8,370.0,95.0,93.0,94.0,88.0,,233
05D,89.3132,361.178,94.79383,93.99417,88.39,84.0,,234
05D,93.1834,373.87934,92.79467,92.79467,92.29,96.0,,235
05D,88.04817,351.72784,95.19367,93.99417,90.54,72.0,,236
06A,97.20325,389.3465,98.3,97.9,97.1465,96.0,,237
06D,86.56672,353.28418,95.495,93.29175,84.49743,80.0,,238
06C,92.44777,377.54118,92.49375,97.0,88.04743,100.0,,239
06D,86.8224,357.28868,93.49125,90.0,81.79743,,92.0,240
06B,95.42187,384.94375,99.0,96.0,93.94375,,96.0,241
06D,92.02806,380.69612,98.2,97.0,85.49612,100.0,,242
06A,90.87908,371.87714,93.591,92.29325,85.99289,,100.0,243
06A,96.8118,383.63217,96.992,95.59167,99.0485,92.0,,244
06D,85.62621,347.48683,93.192,90.0,84.29483,,80.0,245
06D,96.24322,384.28817,95.29567,92.9925,96.0,100.0,,246
06C,84.3616,345.5911,90.0,94.097,81.4941,80.0,,247
06C,92.53589,379.1824,95.99333,95.59325,87.59582,,100.0,248
06A,98.048,391.89017,97.5,96.49167,97.8985,100.0,,249
06B,89.97162,361.19325,94.0,89.5,89.69325,88.0,,250
06A,98.804,395.998,99.3,98.4,98.298,100.0,,251
06C,93.82629,376.58873,90.0,94.1945,92.39423,100.0,,252
06B,92.89701,375.29402,94.0,91.0,90.29402,,100.0,253
06A,96.64176,384.43617,97.197,93.5925,97.64667,96.0,,254
06B,94.49808,384.79617,99.0,95.0,90.79617,100.0,,255
06C,93.84672,381.78879,99.0,95.99333,90.79546,96.0,,256
06C,87.12362,357.89514,90.0,93.497,82.39814,92.0,,257
06D,95.43211,375.53583,95.196,93.192,99.14783,88.0,,258
06D,97.22283,386.79567,98.5,94.0,98.29567,96.0,,259
06C,95.65961,383.73083,95.99333,96.59467,95.14283,96.0,,260
06D,97.37325,387.79067,96.49167,97.0,98.299,96.0,,261
06D,87.65143,359.48582,94.99667,92.69325,83.7959,88.0,,262
06B,95.29829,379.79658,94.0,94.0,95.79658,96.0,,263
06C,92.14872,369.87899,93.49125,96.19667,92.19107,88.0,,264
06B,90.78596,363.93808,94.0,91.0945,90.84358,88.0,,265
21A,92.00239,369.63965,96.19267,97.0,92.44698,84.0,,266
06C,90.42153,375.28724,96.49167,99.0,83.79557,96.0,,267
06D,90.17728,371.08943,94.99667,95.196,84.89676,96.0,,268
06D,96.34708,382.94067,95.495,94.0,97.44567,96.0,,269
06A,98.76925,394.5985,98.8,97.0,98.7985,100.0,,270
06B,90.74883,366.89767,94.0,92.0,88.89767,92.0,,271
06D,95.47283,378.79217,95.495,94.0,97.29717,92.0,,272
06D,92.59628,376.78498,94.99667,92.9925,88.79581,100.0,,273
06B,87.4966,346.2932,94.0,89.0,91.2932,72.0,,274
06B,90.77179,363.54358,95.0,93.0,91.54358,84.0,,275
06A,87.47197,346.03602,97.59633,95.39233,93.04736,,60.0,276
06B,91.42285,369.94571,94.0,91.0,88.94571,96.0,,277
20A,96.15081,389.28533,96.691,99.0,93.59433,100.0,,278
06A,96.42783,388.0889,96.898,96.29233,94.89857,100.0,,279
06C,88.3369,368.3917,94.0,97.597,80.7947,96.0,,280
06A,94.50234,380.08383,96.693,93.9915,93.39933,96.0,,281
06A,96.10811,383.08975,96.898,93.49275,96.699,96.0,,282
06D,95.87736,381.78447,95.99333,93.192,96.59914,96.0,,283
06B,93.797,377.794,94.0,92.0,91.794,100.0,,284
06C,90.67133,360.59034,90.0,97.49667,93.09367,80.0,,285
06A,95.192,383.29028,97.7,95.59467,93.99561,96.0,,286
06A,96.67462,391.94925,99.0,99.0,93.94925,100.0,,287
06B,90.59775,361.7455,94.0,88.5,91.2455,88.0,,288
06A,92.06729,361.88583,96.99,91.7975,97.09833,76.0,,289
06B,93.19812,378.69625,95.0,94.0,89.69625,100.0,,290
06A,96.00695,384.989,96.898,96.495,95.596,96.0,,291
06B,91.02225,367.7445,94.0,89.0,88.7445,96.0,,292
06C,88.64676,354.49119,90.0,97.99667,90.49452,76.0,,293
06C,96.08712,385.29425,96.0,97.6,95.69425,96.0,,294
06B,91.77235,375.14471,94.0,94.0,87.14471,100.0,,295
06C,92.59048,380.48351,96.19267,97.09667,87.19417,100.0,,296
07A,94.71002,377.28159,93.09392,92.994,95.19367,96.0,,297
07A,93.07592,373.78642,95.196,93.99625,92.59417,92.0,,298
