SG,Wt_total,Total_pts,CTGL_1,CTGL_2,Essay,BB_exam_us,BB_exam_ims,student_key,Combined_Scores
04B,95.9215,387.643,96.1,97.9,93.643,100.0,,139,100.0
04B,93.38153,378.99096,94.0,94.897,90.09396,100.0,,140,100.0
04D,86.92078,352.03544,94.09125,91.9,86.04419,,80.0,141,80.0
04A,95.87152,384.38575,95.99333,93.49625,94.89617,100.0,,142,100.0
04D,95.67619,382.78983,95.09633,96.1,95.5935,96.0,,143,96.0
04B,94.4091,382.794,95.0,96.394,91.4,100.0,,144,100.0
04B,93.69003,373.67858,93.09225,94.19133,94.395,92.0,,145,92.0
04C,91.54858,375.39484,94.99667,94.0,86.39817,100.0,,146,100.0
04C,94.94708,381.14125,94.0,93.49583,93.64542,100.0,,147,100.0
04B,92.23696,366.23441,95.09308,95.99333,95.148,,80.0,148,80.0
04D,87.97137,354.13942,93.09525,92.9,88.14417,,80.0,149,80.0
04B,94.07462,383.38714,96.0,97.197,90.19014,100.0,,150,100.0
04D,93.64226,372.89225,92.09675,94.2,94.5955,92.0,,151,92.0
04D,96.69758,390.94517,98.4,98.1,94.44517,100.0,,152,100.0
04A,83.64121,334.78822,96.89533,94.39867,87.49422,56.0,,153,56.0
21A,89.36311,359.44249,94.49833,95.09633,89.84783,80.0,,154,80.0
04A,95.36614,382.58343,95.99333,95.794,94.7961,96.0,,155,96.0
04A,90.91967,364.1306,91.995,92.9925,91.1431,88.0,,156,88.0
04B,90.99612,367.73601,93.09458,93.3965,89.24493,92.0,,157,92.0
04D,93.80168,375.88894,94.99367,91.7,93.19527,96.0,,158,96.0
04A,89.47028,360.93298,94.99667,92.9925,88.94381,84.0,,159,84.0
04D,95.14693,386.09386,98.1,95.9,92.09386,100.0,,160,100.0
04A,94.97702,382.74009,95.39533,94.299,93.04576,100.0,,161,100.0
04A,90.01392,359.47712,93.99417,93.7905,91.69245,80.0,,162,80.0
04A,96.24687,387.5885,100.0,92.9925,94.596,100.0,,163,100.0
04A,95.45355,383.0971,98.0,97.7,95.3971,92.0,,164,92.0
04C,93.43692,374.44128,94.0,95.09633,93.34495,92.0,,165,92.0
04D,94.58664,378.49025,96.49567,95.1,94.89458,92.0,,166,92.0
04B,87.68205,354.18671,93.19867,93.69075,87.29729,80.0,,167,80.0
04D,96.06741,383.99483,96.0,95.8,96.19483,96.0,,168,96.0
04A,93.20668,368.28567,91.995,92.394,95.89667,88.0,,169,88.0
